Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,SW_SPDT,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,54.0,-135.89,0.0,top
SW2,SW_SPDT,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,120.04,-135.89,0.0,top
SW3,SW_SPDT,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,48.235,-167.005,180.0,top
SW4,SW_SPDT,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,67.97,-167.005,0.0,top
U1,TPS65131_kit,TPS65131_kit,129.54,-180.975,0.0,top
U10,TLP241AF,DIP4_TOS,139.7,-161.29,180.0,top
U11,OP07,DIP-8_W7.62mm,103.505,-159.385,180.0,top
U12,OP07,DIP-8_W7.62mm,52.705,-143.51,90.0,top
U13,OP07,DIP-8_W7.62mm,34.925,-143.515,-90.0,top
U14,OP07,DIP-8_W7.62mm,70.49,-142.245,0.0,top
U15,TLP241AF,DIP4_TOS,73.66,-154.31,180.0,top
U16,TLP241AF,DIP4_TOS,73.66,-161.295,180.0,top
U17,OP07,DIP-8_W7.62mm,37.46,-159.39,180.0,top
U2,LM4040DBZ-3,SOT-23,39.69,-167.3375,90.0,bottom
U3,LM4040DBZ-3,SOT-23,87.9625,-160.97,0.0,bottom
U4,MCP1501-20xCH,SOT-23-6,105.9125,-183.83,0.0,top
U5,MCP4922,DIP-14_W7.62mm,92.075,-180.34,0.0,top
U6,OP07,DIP-8_W7.62mm,118.745,-143.51,90.0,top
U7,OP07,DIP-8_W7.62mm,100.965,-143.51,-90.0,top
U8,OP07,DIP-8_W7.62mm,136.525,-142.24,0.0,top
U9,TLP241AF,DIP4_TOS,139.7,-154.305,180.0,top
