Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RaspberryPi_Pico,RaspberryPi_Pico_Common_Unspecified,51.985,-181.61,90.0,top
C1,100u,CP_Radial_D5.0mm_P2.00mm,147.32,-173.085,-90.0,top
C10,4.7u,C_1206_3216Metric,59.69,-143.515,-90.0,top
C11,4.7u,C_1206_3216Metric,27.94,-143.515,90.0,top
C12,4.7u,C_1206_3216Metric,68.15,-149.23,180.0,top
C13,4.7u,C_1206_3216Metric,37.465,-152.4,180.0,top
C2,100u,CP_Radial_D5.0mm_P2.00mm,147.32,-180.07,-90.0,top
C3,2.2u,C_0603_1608Metric,111.76,-182.105,-90.0,top
C4,2.2u,C_0603_1608Metric,92.075,-170.18,0.0,top
C5,2.2u,C_0603_1608Metric,99.835,-175.895,180.0,top
C6,4.7u,C_1206_3216Metric,125.73,-143.51,-90.0,top
C7,4.7u,C_1206_3216Metric,93.98,-143.51,90.0,top
C8,4.7u,C_1206_3216Metric,134.19,-149.225,180.0,top
C9,4.7u,C_1206_3216Metric,103.505,-152.4,180.0,top
D1,ZeD,D_DO-34_SOD68_P7.62mm_Horizontal,95.885,-161.925,90.0,top
D2,D,D_DO-34_SOD68_P7.62mm_Horizontal,120.015,-154.305,-90.0,top
D3,D,D_DO-34_SOD68_P7.62mm_Horizontal,123.19,-154.31,90.0,top
D4,D,D_DO-34_SOD68_P7.62mm_Horizontal,126.365,-158.745,-90.0,top
D5,ZeD,D_DO-34_SOD68_P7.62mm_Horizontal,29.845,-161.93,90.0,top
D6,D,D_DO-34_SOD68_P7.62mm_Horizontal,53.975,-154.3,-90.0,top
D7,D,D_DO-34_SOD68_P7.62mm_Horizontal,57.15,-154.31,90.0,top
D8,D,D_DO-34_SOD68_P7.62mm_Horizontal,60.325,-158.745,-90.0,top
J1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,40.64,-125.875,0.0,top
J2,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,73.66,-125.875,0.0,top
J3,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,106.68,-125.875,0.0,top
J4,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,139.7,-125.875,0.0,top
R1,200,R_0603_1608Metric,88.075,-157.48,0.0,bottom
R10,20k,R_0603_1608Metric,147.32,-154.75,-90.0,top
R11,20k,R_0603_1608Metric,147.32,-161.735,90.0,top
R12,10k,R_0603_1608Metric,117.03,-163.385,90.0,top
R13,30k,R_0603_1608Metric,113.855,-158.115,180.0,top
R14,10k,R_0603_1608Metric,120.84,-162.56,0.0,top
R15,10k,R_0603_1608Metric,110.49,-157.29,90.0,top
R16,10k,R_0603_1608Metric,43.625,-146.055,0.0,top
R17,10k,R_0603_1608Metric,44.45,-142.88,-90.0,top
R18,10k,R_0603_1608Metric,65.595,-153.04,0.0,top
R19,1k,R_0603_1608Metric,65.595,-158.755,0.0,top
R2,1k,R_0603_1608Metric,99.06,-179.515,90.0,top
R20,100,R_0603_1608Metric,64.77,-161.74,-90.0,top
R21,10k,R_0603_1608Metric,79.375,-154.755,90.0,top
R22,10k,R_0603_1608Metric,79.375,-161.74,-90.0,top
R23,20k,R_0603_1608Metric,81.28,-154.755,-90.0,top
R24,20k,R_0603_1608Metric,81.28,-161.74,90.0,top
R25,10k,R_0603_1608Metric,48.26,-163.385,90.0,top
R26,30k,R_0603_1608Metric,47.435,-158.115,180.0,top
R27,10k,R_0603_1608Metric,54.61,-162.56,0.0,top
R28,10k,R_0603_1608Metric,44.45,-157.29,90.0,top
R3,10k,R_0603_1608Metric,110.49,-146.875,90.0,top
R4,10k,R_0603_1608Metric,110.49,-143.065,-90.0,top
R5,10k,R_0603_1608Metric,131.635,-153.035,0.0,top
R6,1k,R_0603_1608Metric,131.635,-158.75,0.0,top
R7,100,R_0603_1608Metric,130.81,-161.735,-90.0,top
R8,10k,R_0603_1608Metric,145.415,-154.75,90.0,top
R9,10k,R_0603_1608Metric,145.415,-161.735,-90.0,top
